id,message,urgency_level,urgency_score,service_type,timestamp
1241,"Just calling to say I organized my closet this afternoon and found some clothes I forgot I had, it was like shopping in my own home",none,0,Community line,2025-10-01T02:10:37.943Z
1242,"I've been feeling very tired for a week, I have no energy even after sleeping well, I wonder if I should get blood tests done",low,1,Health hotline,2025-09-29T22:26:23.969Z
1243,"I'm 7 months pregnant and I just slipped on the stairs, I fell on my stomach, I have severe lower abdominal pain and I think I'm bleeding a little, I feel the baby isn't moving like before",urgent,3,Police,2025-09-13T09:36:59.882Z
1244,"I've had severe stomach pain since this morning, I've vomited several times and have diarrhea, I think it's food poisoning, I ate seafood last night",moderate,2,On-call doctor,2025-10-10T04:42:07.364Z
1245,"My neighbors have been making a lot of noise since midnight with loud music, I have to get up early tomorrow for work and I can't sleep, can you intervene?",low,1,Health hotline,2025-09-17T08:18:33.027Z
1246,"I spilled a pot of boiling oil on myself while cooking, I have burns all over my chest and arms, skin is peeling off, I'm in so much pain I can't think straight",critical,4,Police,2025-09-16T14:00:46.809Z
1247,"There's a violent fight at the bottom of my building, I see from the window that there are at least 5 people fighting with baseball bats, there are already several on the ground not moving",urgent,3,Fire Department,2025-09-30T15:00:30.110Z
1248,"Just wanted to mention that I tried a new recipe for dinner tonight and it turned out pretty good, the family enjoyed it",none,0,General info,2025-10-09T19:23:44.931Z
1249,"I just hit my head hard on an open door, a big bump is forming and I feel a bit nauseous, I didn't lose consciousness but I feel dizzy",moderate,2,Fire Department,2025-09-14T22:07:09.657Z
1250,"I was just assaulted and robbed on the street near my home, they hit me several times in the face, my nose is bleeding and I have a broken tooth, I'm bleeding quite a bit from my mouth",urgent,3,Fire Department,2025-09-15T18:03:00.099Z
1251,"I'm witnessing a serious accident on Route 66 near Phoenix, a car hit a truck head-on, there's blood everywhere, the driver isn't moving, the windshield is shattered and there's gasoline leaking",critical,4,Fire Department,2025-09-24T18:31:11.561Z
1252,"My 3-year-old son has small red spots on his stomach since this morning, they don't itch him too much but I don't know what it is, could it be contagious?",low,1,Local police,2025-09-24T01:43:13.821Z
1253,"Hi, my daughter got a good grade on her math test today, she studied really hard for it and I'm proud of her",none,0,Community line,2025-09-30T09:59:16.296Z
1254,"Hello, I reconnected with an old friend on social media today, it was nice to catch up after all these years",none,0,General info,2025-10-01T16:29:37.848Z
1255,"I haven't been able to sleep for several nights, I wake up often and have trouble falling back asleep, I don't want to take sleeping pills but I'm exhausted",low,1,Local police,2025-09-27T17:56:04.882Z
1256,"Hi, I'm just calling to let you know I saw a beautiful sunset today while walking my dog in the park, it was really peaceful",none,0,N/A,2025-09-15T08:31:22.817Z
1257,"I haven't been able to sleep for several nights, I wake up often and have trouble falling back asleep, I don't want to take sleeping pills but I'm exhausted",low,1,Health hotline,2025-09-27T07:31:32.916Z
1258,"I burned myself taking a dish out of the oven, blisters are forming on my hand, it's red and hurts a lot, I put it under cold water but I don't know if that's enough",moderate,2,Police,2025-09-19T09:03:50.587Z
1259,"Just calling to say I organized my closet this afternoon and found some clothes I forgot I had, it was like shopping in my own home",none,0,Community line,2025-10-08T20:52:55.776Z
1260,"I'm locked in my apartment and my ex-partner is forcing the door with a crowbar, he's screaming that he's going to kill me, I hear the door giving way, I'm alone with my baby",critical,4,Fire Department,2025-10-04T09:03:40.584Z
1261,"My 5-year-old daughter has had a fever that won't go down for 48 hours, she's at 39.5°C even after paracetamol, she complains of headaches and sleeps a lot",moderate,2,Fire Department,2025-09-16T23:37:01.788Z
1262,"My elderly neighbor rang my doorbell completely lost, she doesn't know where she lives or what her name is, she looks disoriented, I think she suffers from dementia, I don't know what to do",moderate,2,On-call doctor,2025-09-20T03:58:45.115Z
1263,"I'm reaching out to tell you about the nice conversation I had with the mailman today, he's such a pleasant person",none,0,Community line,2025-10-03T17:16:09.367Z
1264,"My 15-year-old daughter is having a severe asthma attack, she used her inhaler three times but it's not getting better, she can barely speak because she's suffocating so much, her lips are starting to turn blue",urgent,3,Fire Department,2025-09-22T02:47:35.881Z
1265,"My husband got stung by a wasp 30 minutes ago and his arm has really swollen up a lot, he's had allergic reactions before but never this strong, he says it's hard to swallow",moderate,2,Police,2025-10-06T05:58:11.547Z
1266,"I've had severe stomach pain since this morning, I've vomited several times and have diarrhea, I think it's food poisoning, I ate seafood last night",moderate,2,Fire Department,2025-09-21T18:14:58.746Z
1267,"My nose is running and I'm sneezing a lot since this morning, I think I'm starting a cold, what do you recommend I take?",low,1,Local police,2025-10-10T15:43:19.177Z
1268,"My father was electrocuted while repairing the electrical panel, he fell to the ground and isn't moving, he has burns on his hands and is barely breathing, I don't dare touch him",critical,4,EMS,2025-10-03T23:34:20.813Z
1269,"My father was electrocuted while repairing the electrical panel, he fell to the ground and isn't moving, he has burns on his hands and is barely breathing, I don't dare touch him",critical,4,Police,2025-10-01T18:42:25.597Z
1270,"I'm calling to say that my tomato plants are growing well this year, I'm hoping for a good harvest",none,0,N/A,2025-09-18T23:26:06.102Z
1271,"I'd like to have information on how to take my medications, I have a prescription but I don't understand well when I should take them in relation to meals",low,1,Medical advice,2025-09-21T11:39:13.036Z
1272,"Help us! My 8-month-old baby is choking on a piece of food, he's turning blue, I'm patting his back but nothing's coming out, he can't breathe at all!",critical,4,Fire Department,2025-09-21T04:14:16.213Z
1273,"I've had severe stomach pain since this morning, I've vomited several times and have diarrhea, I think it's food poisoning, I ate seafood last night",moderate,2,Police,2025-10-08T21:16:20.654Z
1274,"My 10-year-old son just cut himself deeply with a kitchen knife, the cut is at least 5 cm on his forearm, it's bleeding a lot, I put a towel on it but the blood is soaking through",urgent,3,Fire Department,2025-10-07T12:24:29.245Z
1275,"Hi, I made some homemade cookies yesterday and they came out perfectly, the house smelled amazing",none,0,N/A,2025-09-24T15:57:50.601Z
1276,"I smell a very strong gas odor throughout my apartment for the past 10 minutes, I opened the windows but it still smells just as strong, I'm afraid it will explode, what should I do?",urgent,3,Fire Department,2025-09-19T23:29:55.521Z
1277,"I got a small cut while gardening this morning, it's not deep but I'm not sure if I'm up to date with my tetanus shots, what do you recommend?",low,1,Health hotline,2025-09-29T03:16:38.134Z
1278,"I'm 7 months pregnant and I just slipped on the stairs, I fell on my stomach, I have severe lower abdominal pain and I think I'm bleeding a little, I feel the baby isn't moving like before",urgent,3,Fire Department,2025-09-29T23:55:40.947Z
1279,"My husband has had terrible chest pain for 30 minutes, he's sweating a lot, he says it feels like a huge weight on his chest, he's 55 and has a heart condition",urgent,3,EMS,2025-09-12T18:55:31.249Z
1280,"There's a small fire in the trash bin outside behind my building, it's been burning for 10 minutes but it's contained for now, however there's smoke rising and it could spread",moderate,2,On-call doctor,2025-10-04T23:51:31.119Z
1281,"My 10-year-old son just cut himself deeply with a kitchen knife, the cut is at least 5 cm on his forearm, it's bleeding a lot, I put a towel on it but the blood is soaking through",urgent,3,Fire Department,2025-09-28T12:01:59.035Z
1282,"My elderly neighbor rang my doorbell completely lost, she doesn't know where she lives or what her name is, she looks disoriented, I think she suffers from dementia, I don't know what to do",moderate,2,Police,2025-09-24T22:20:34.980Z
1283,"My daughter has had ear pain since last night, she's pulling on them and crying a bit, I think it might be an ear infection, can I wait until Monday to see the doctor or should I consult now?",low,1,Health hotline,2025-09-22T05:38:25.626Z
1284,"My 15-year-old daughter is having a severe asthma attack, she used her inhaler three times but it's not getting better, she can barely speak because she's suffocating so much, her lips are starting to turn blue",urgent,3,Fire Department,2025-09-24T12:12:09.585Z
1285,"Hi, my daughter got a good grade on her math test today, she studied really hard for it and I'm proud of her",none,0,Community line,2025-10-08T04:16:22.751Z
1286,"My 10-year-old son just cut himself deeply with a kitchen knife, the cut is at least 5 cm on his forearm, it's bleeding a lot, I put a towel on it but the blood is soaking through",urgent,3,EMS,2025-09-26T06:50:08.572Z
1287,"My colleague just had a medical emergency at work, he suddenly fainted during the meeting, he fell backwards and hit his head against the wall, he's not waking up",urgent,3,Police,2025-09-21T22:48:22.365Z
1288,"I'm calling to say that my tomato plants are growing well this year, I'm hoping for a good harvest",none,0,N/A,2025-10-07T02:33:34.801Z
1289,"Hello, I found a really good parking spot at the grocery store today on my first try, which never happens",none,0,General info,2025-09-16T23:28:24.630Z
